,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,spermidine,w/o,248785,184775,64010,247693,1092,222940,25845,235323,13462,242079,6706,248585,200,248774,11,248658,127,246338,2447,248585,200,248769,16,248748,37,247538,1247,247860,925,248724,61,248664,121,231437,17348,228257,20528,243988,4797,242693,6092,233711,15074,226324,22461,247686,1099,239543,9242,241311,7474,247577,1208,238454,10331,207597,41188,243721,5064,248713,72,246276,2509,241775,7010,222289,26496
alkaloid,spermidine,w/,1297,1027,270,1251,46,1201,96,1147,150,1264,33,1297,0,1297,0,1297,0,1217,80,1297,0,1297,0,1295,2,1277,20,1285,12,1297,0,1297,0,1272,25,1257,40,1283,14,1291,6,1263,34,1247,50,1286,11,1274,23,1279,18,1292,5,1254,43,976,321,1251,46,1297,0,1295,2,1260,37,1122,175
alkaloid,spermine,w/o,248744,184695,64049,247645,1099,222942,25802,235251,13493,242039,6705,248544,200,248734,10,248617,127,246268,2476,248545,199,248728,16,248705,39,247491,1253,247812,932,248684,60,248623,121,231400,17344,228203,20541,243948,4796,242653,6091,233655,15089,226275,22469,247639,1105,239506,9238,241266,7478,247537,1207,238420,10324,207668,41076,243674,5070,248672,72,246235,2509,241728,7016,222265,26479
alkaloid,spermine,w/,1338,1107,231,1299,39,1199,139,1219,119,1304,34,1338,0,1337,1,1338,0,1287,51,1337,1,1338,0,1338,0,1324,14,1333,5,1337,1,1338,0,1309,29,1311,27,1323,15,1331,7,1319,19,1296,42,1333,5,1311,27,1324,14,1332,6,1288,50,905,433,1298,40,1338,0,1336,2,1307,31,1146,192
alkaloid,thiazole,w/o,238017,174614,63403,236883,1134,212597,25420,228623,9394,231368,6649,237820,197,238006,11,237890,127,235523,2494,237833,184,238001,16,237980,37,236761,1256,237108,909,237957,60,237898,119,222000,16017,218439,19578,233564,4453,232452,5565,223850,14167,216291,21726,237049,968,229354,8663,230762,7255,236826,1191,228015,10002,199267,38750,233203,4814,237947,70,235612,2405,231138,6879,212569,25448
alkaloid,thiazole,w/,12065,11188,877,12061,4,11544,521,7847,4218,11975,90,12062,3,12065,0,12065,0,12032,33,12049,16,12065,0,12063,2,12054,11,12037,28,12064,1,12063,2,10709,1356,11075,990,11707,358,11532,533,11124,941,11280,785,11923,142,11463,602,11828,237,12043,22,11693,372,9306,2759,11769,296,12063,2,11959,106,11897,168,10842,1223
alkaloid,tropane,w/o,249810,185553,64257,248674,1136,223885,25925,236228,13582,243077,6733,249610,200,249799,11,249683,127,247286,2524,249610,200,249795,15,249771,39,248547,1263,248874,936,249749,61,249689,121,232448,17362,229247,20563,245001,4809,243719,6091,234704,15106,227302,22508,248701,1109,240562,9248,242323,7487,248598,1212,239484,10326,208332,41478,244709,5101,249738,72,247303,2507,242768,7042,223210,26600
alkaloid,tropane,w/,272,249,23,270,2,256,16,242,30,266,6,272,0,272,0,272,0,269,3,272,0,271,1,272,0,268,4,271,1,272,0,272,0,261,11,267,5,270,2,265,7,270,2,269,3,271,1,255,17,267,5,271,1,224,48,241,31,263,9,272,0,268,4,267,5,201,71
phenolic compound,acetophenone,w/o,247920,184137,63783,246785,1135,222368,25552,234543,13377,241268,6652,247722,198,247909,11,247802,118,245407,2513,247723,197,247904,16,247881,39,246658,1262,246995,925,247859,61,247801,119,230758,17162,227605,20315,243137,4783,241855,6065,233032,14888,225603,22317,246813,1107,238712,9208,240453,7467,246714,1206,237607,10313,206689,41231,242844,5076,247848,72,245414,2506,240897,7023,221402,26518
phenolic compound,acetophenone,w/,2162,1665,497,2159,3,1773,389,1927,235,2075,87,2160,2,2162,0,2153,9,2148,14,2159,3,2162,0,2162,0,2157,5,2150,12,2162,0,2160,2,1951,211,1909,253,2134,28,2129,33,1942,220,1968,194,2159,3,2105,57,2137,25,2155,7,2101,61,1884,278,2128,34,2162,0,2157,5,2138,24,2009,153
