,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,putrescine,w/o,245907,182788,63119,244867,1040,220453,25454,232527,13380,239300,6607,245707,200,245896,11,245789,118,243496,2411,245708,199,245892,15,245869,38,244674,1233,244999,908,245846,61,245787,120,228759,17148,225639,20268,241182,4725,239908,5999,230939,14968,223829,22078,244814,1093,236769,9138,238514,7393,244708,1199,235668,10239,205132,40775,240896,5011,245835,72,243407,2500,239033,6874,219710,26197
alkaloid,putrescine,w/,1050,851,199,991,59,961,89,925,125,1017,33,1050,0,1050,0,1042,8,982,68,1050,0,1050,0,1049,1,1033,17,1041,9,1050,0,1049,1,1032,18,1023,27,1042,8,1047,3,1027,23,1020,30,1042,8,1035,15,1036,14,1046,4,1018,32,825,225,1029,21,1050,0,1048,2,1004,46,882,168
alkaloid,pyridine,w/o,227588,165307,62281,226496,1092,207416,20172,215463,12125,221689,5899,227393,195,227577,11,227465,123,225142,2446,227437,151,227575,13,227549,39,226366,1222,226698,890,227542,46,227479,109,211573,16015,208416,19172,223388,4200,221812,5776,213665,13923,206389,21199,226531,1057,219393,8195,220662,6926,226455,1133,218578,9010,189555,38033,222821,4767,227518,70,225899,1689,221068,6520,203080,24508
alkaloid,pyridine,w/,19369,18332,1037,19362,7,13998,5371,17989,1380,18628,741,19364,5,19369,0,19366,3,19336,33,19321,48,19367,2,19369,0,19341,28,19342,27,19354,15,19357,12,18218,1151,18246,1123,18836,533,19143,226,18301,1068,18460,909,19325,44,18411,958,18888,481,19299,70,18108,1261,16402,2967,19104,265,19367,2,18556,813,18969,400,17512,1857
alkaloid,pyrrolidine,w/o,243691,181152,62539,242592,1099,218436,25255,230429,13262,237086,6605,243491,200,243680,11,243565,126,241215,2476,243500,191,243677,14,243652,39,242444,1247,242784,907,243630,61,243570,121,226732,16959,223634,20057,239033,4658,237902,5789,228826,14865,221702,21989,242599,1092,234886,8805,236349,7342,242500,1191,233581,10110,203284,40407,238743,4948,243619,72,241206,2485,236822,6869,217583,26108
alkaloid,pyrrolidine,w/,3266,2487,779,3266,0,2978,288,3023,243,3231,35,3266,0,3266,0,3266,0,3263,3,3258,8,3265,1,3266,0,3263,3,3256,10,3266,0,3266,0,3059,207,3028,238,3191,75,3053,213,3140,126,3147,119,3257,9,2918,348,3201,65,3254,12,3105,161,2673,593,3182,84,3266,0,3249,17,3215,51,3009,257
alkaloid,pyrrolizidine,w/o,246258,182972,63286,245161,1097,220730,25528,232766,13492,239624,6634,246064,194,246247,11,246134,124,243784,2474,246060,198,246243,15,246219,39,245026,1232,245342,916,246197,61,246148,110,229105,17153,225983,20275,241527,4731,240261,5997,231283,14975,224168,22090,245159,1099,237115,9143,238855,7403,245056,1202,236031,10227,205388,40870,241227,5031,246186,72,243759,2499,239345,6913,220364,25894
alkaloid,pyrrolizidine,w/,699,667,32,697,2,684,15,686,13,693,6,693,6,699,0,697,2,694,5,698,1,699,0,699,0,681,18,698,1,699,0,688,11,686,13,679,20,697,2,694,5,683,16,681,18,697,2,689,10,695,4,698,1,655,44,569,130,698,1,699,0,696,3,692,7,228,471
alkaloid,quinazoline,w/o,244202,181017,63185,243103,1099,218792,25410,230765,13437,237581,6621,244002,200,244191,11,244076,126,241725,2477,244008,194,244188,14,244164,38,242955,1247,243290,912,244141,61,244081,121,227248,16954,224183,20019,239645,4557,238278,5924,229406,14796,222297,21905,243124,1078,235269,8933,236856,7346,243002,1200,234144,10058,204019,40183,239207,4995,244130,72,241743,2459,237351,6851,218258,25944
alkaloid,quinazoline,w/,2755,2622,133,2755,0,2622,133,2687,68,2736,19,2755,0,2755,0,2755,0,2753,2,2750,5,2754,1,2754,1,2752,3,2750,5,2755,0,2755,0,2543,212,2479,276,2579,176,2677,78,2560,195,2552,203,2732,23,2535,220,2694,61,2752,3,2542,213,1938,817,2718,37,2755,0,2712,43,2686,69,2334,421
alkaloid,quinoline,w/o,233788,171037,62751,232693,1095,209477,24311,220688,13100,227303,6485,233589,199,233777,11,233662,126,231326,2462,233596,192,233775,13,233749,39,232559,1229,232941,847,233727,61,233668,120,217214,16574,215921,17867,229396,4392,227940,5848,219877,13911,214741,19047,232791,997,225138,8650,226780,7008,232672,1116,224061,9727,194818,38970,228934,4854,233728,60,231340,2448,227484,6304,208779,25009
alkaloid,quinoline,w/,13169,12602,567,13165,4,11937,1232,12764,405,13014,155,13168,1,13169,0,13169,0,13152,17,13162,7,13167,2,13169,0,13148,21,13099,70,13169,0,13168,1,12577,592,10741,2428,12828,341,13015,154,12089,1080,10108,3061,13065,104,12666,503,12770,399,13082,87,12625,544,11139,2030,12991,178,13157,12,13115,54,12553,616,11813,1356
alkaloid,quinolizidine,w/o,246807,183492,63315,245709,1098,221270,25537,233311,13496,240168,6639,246607,200,246796,11,246681,126,244331,2476,246608,199,246792,15,246768,39,245561,1246,245890,917,246746,61,246687,120,229655,17152,226524,20283,242079,4728,240812,5995,231824,14983,224711,22096,245706,1101,237678,9129,239402,7405,245604,1203,236540,10267,205862,40945,241775,5032,246735,72,244305,2502,239889,6918,220465,26342
