,,,*,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene
,,,Σ,acridine,acridine,benzylamine,benzylamine,colchicine,colchicine,cyclopeptide,cyclopeptide,imidazole,imidazole,indole,indole,indolizidine,indolizidine,isoquinoline,isoquinoline,isoxazole,isoxazole,muscarine,muscarine,oxazole,oxazole,phenylethylamine,phenylethylamine,piperidine,piperidine,purine,purine,putrescine,putrescine,pyridine,pyridine,pyrrolidine,pyrrolidine,pyrrolizidine,pyrrolizidine,quinazoline,quinazoline,quinoline,quinoline,quinolizidine,quinolizidine,spermidine,spermidine,spermine,spermine,thiazole,thiazole,tropane,tropane,acetophenone,acetophenone,anthraquinone,anthraquinone,biflavonoids,biflavonoids,flavonoids,flavonoids,isoflavanoids,isoflavanoids,lignans,lignans,naphthoquinone,naphthoquinone,phenol,phenol,phenolic acid,phenolic acid,phenylpropanoid,phenylpropanoid,stilbene,stilbene,tannin,tannin,xanthone,xanthone,acetogenin,acetogenin,ansamycin,ansamycin,macrolide,macrolide,polyene,polyene,polyether,polyether,tetracycline,tetracycline,diterpene,diterpene,hemiterpene,hemiterpene,monoterpene,monoterpene,norisoprenoid,norisoprenoid,polyterpene,polyterpene,sesquiterpene,sesquiterpene,sesterterpene,sesterterpene,tetraterpene/carotenoid/xanthophyll,tetraterpene/carotenoid/xanthophyll,triterpene,triterpene
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,muscarine,w/o,250003,247253,2750,249143,860,244095,5908,247279,2724,233184,16819,236275,13728,249930,73,247925,2078,247484,2519,250003,0,248085,1918,249934,69,243352,6651,245047,4956,248939,1064,230456,19547,246704,3299,249297,706,247209,2794,236698,13305,249851,152,248706,1297,248665,1338,237938,12065,249731,272,247841,2162,245966,4037,249219,784,206753,43250,250001,2,247514,2489,247137,2866,194766,55237,247524,2479,249126,877,244741,5262,238479,11524,248147,1856,249685,318,249883,120,242945,7058,248556,1447,249022,981,231900,18103,246536,3467,249837,166,249224,779,249925,78,250000,3,244428,5575,249810,193,239160,10843,244202,5801
alkaloid,muscarine,w/,79,79,0,79,0,77,2,77,2,79,0,78,1,79,0,79,0,78,1,0,79,79,0,79,0,78,1,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,78,1,79,0,79,0,79,0,78,1,79,0,79,0,78,1,78,1,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,78,1,79,0,78,1,79,0
alkaloid,oxazole,w/o,248164,245419,2745,247309,855,242271,5893,245454,2710,231475,16689,234488,13676,248091,73,246091,2073,245791,2373,248085,79,248164,0,248095,69,241538,6626,243213,4951,247100,1064,228703,19461,244878,3286,247459,705,245382,2782,234904,13260,248012,152,246868,1296,246826,1338,236300,11864,247892,272,246014,2150,244129,4035,247380,784,204921,43243,248162,2,245678,2486,245305,2859,192980,55184,245685,2479,247287,877,242904,5260,236639,11525,246310,1854,247846,318,248044,120,241150,7014,246719,1445,247183,981,230074,18090,244699,3465,247998,166,247385,779,248086,78,248161,3,242590,5574,247971,193,237321,10843,242365,5799
alkaloid,oxazole,w/,1918,1913,5,1913,5,1901,17,1902,16,1788,130,1865,53,1918,0,1913,5,1771,147,1918,0,0,1918,1918,0,1892,26,1913,5,1918,0,1832,86,1905,13,1917,1,1906,12,1873,45,1918,0,1917,1,1918,0,1717,201,1918,0,1906,12,1916,2,1918,0,1910,8,1918,0,1915,3,1911,7,1864,54,1918,0,1918,0,1915,3,1918,0,1916,2,1918,0,1918,0,1874,44,1916,2,1918,0,1905,13,1916,2,1918,0,1918,0,1918,0,1918,0,1916,2,1918,0,1917,1,1916,2
alkaloid,phenylethylamine,w/o,250013,247263,2750,249155,858,244104,5909,247287,2726,233196,16817,236284,13729,249940,73,247935,2078,247493,2520,249934,79,248095,1918,250013,0,243362,6651,245057,4956,248950,1063,230468,19545,246715,3298,249307,706,247219,2794,236708,13305,249861,152,248717,1296,248676,1337,237948,12065,249741,272,247851,2162,245976,4037,249229,784,206762,43251,250011,2,247524,2489,247147,2866,194776,55237,247534,2479,249136,877,244750,5263,238488,11525,248157,1856,249695,318,249893,120,242955,7058,248566,1447,249032,981,231910,18103,246546,3467,249847,166,249234,779,249935,78,250010,3,244437,5576,249820,193,239169,10844,244213,5800
alkaloid,phenylethylamine,w/,69,69,0,67,2,68,1,69,0,67,2,69,0,69,0,69,0,69,0,69,0,69,0,0,69,68,1,69,0,68,1,67,2,68,1,69,0,69,0,69,0,69,0,68,1,68,1,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,68,1,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,68,1
alkaloid,piperidine,w/o,243430,240700,2730,242593,837,237527,5903,240722,2708,226761,16669,229924,13506,243361,69,241390,2040,240961,2469,243352,78,241538,1892,243362,68,243430,0,238530,4900,242367,1063,224258,19172,240362,3068,242732,698,240718,2712,230243,13187,243293,137,242137,1293,242097,1333,231490,11940,243173,257,241288,2142,239404,4026,242647,783,200313,43117,243428,2,240945,2485,240576,2854,188291,55139,240952,2478,242553,877,238184,5246,231910,11520,241579,1851,243112,318,243310,120,236386,7044,241985,1445,242450,980,225347,18083,239967,3463,243265,165,242653,777,243352,78,243427,3,237864,5566,243238,192,232592,10838,237636,5794
alkaloid,piperidine,w/,6652,6632,20,6629,23,6645,7,6634,18,6502,150,6429,223,6648,4,6614,38,6601,51,6651,1,6626,26,6651,1,0,6652,6596,56,6651,1,6277,375,6421,231,6644,8,6570,82,6534,118,6637,15,6648,4,6647,5,6527,125,6637,15,6632,20,6641,11,6651,1,6518,134,6652,0,6648,4,6640,12,6553,99,6651,1,6652,0,6635,17,6647,5,6647,5,6652,0,6652,0,6638,14,6650,2,6651,1,6632,20,6648,4,6651,1,6650,2,6652,0,6652,0,6642,10,6651,1,6646,6,6645,7
alkaloid,purine,w/o,245126,242388,2738,244269,857,239259,5867,242403,2723,228408,16718,231459,13667,245053,73,243076,2050,242620,2506,245047,79,243213,1913,245057,69,238530,6596,245126,0,244070,1056,225703,19423,241846,3280,244424,702,242394,2732,231852,13274,244977,149,243838,1288,243797,1329,233101,12025,244857,269,242970,2156,241100,4026,244342,784,201935,43191,245124,2,242639,2487,242267,2859,189974,55152,242652,2474,244250,876,239870,5256,233614,11512,243273,1853,244808,318,245007,119,238071,7055,243683,1443,244145,981,227040,18086,241667,3459,244961,165,244349,777,245048,78,245123,3,239559,5567,244934,192,234292,10834,239331,5795
alkaloid,purine,w/,4956,4944,12,4953,3,4913,43,4953,3,4855,101,4894,62,4956,0,4928,28,4942,14,4956,0,4951,5,4956,0,4900,56,0,4956,4948,8,4832,124,4937,19,4952,4,4894,62,4925,31,4953,3,4947,9,4947,9,4916,40,4953,3,4950,6,4945,11,4956,0,4896,60,4956,0,4954,2,4949,7,4870,86,4951,5,4955,1,4949,7,4943,13,4953,3,4956,0,4955,1,4953,3,4952,4,4956,0,4939,17,4948,8,4955,1,4954,2,4956,0,4956,0,4947,9,4955,1,4946,10,4950,6
