,,,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,antioxidant,antioxidant,drought,drought,metal,metal,uv,uv,salt,salt,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,antidiabetic,antidiabetic,cardiovascular,cardiovascular,obesity,obesity,rheumatism,rheumatism,antibacterial,antibacterial,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,anti-inflammatory,anti-inflammatory,arthritis,arthritis,burns,burns,wound,wound,anticancer,anticancer,cytotoxicity,cytotoxicity,sedative,sedative,toxicity,toxicity
,,,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,piperidine,w/o,175595,61865,236382,1078,212551,24909,230959,6501,224341,13119,237261,199,237449,11,237334,126,235020,2440,237268,192,237446,14,237421,39,236229,1231,236566,894,237400,60,237340,120,232002,5458,228289,9171,232998,4462,237389,71,217818,19642,222877,14583,215894,21566,236417,1043,228757,8703,221030,16430,230578,6882,236304,1156,230780,6680,232919,4541,197979,39481,235400,2060,212185,25275
alkaloid,piperidine,w/,5927,577,6503,1,6212,292,6438,66,6224,280,6503,1,6504,0,6504,0,6497,7,6499,5,6504,0,6504,0,6502,2,6500,4,6504,0,6504,0,6069,435,5505,999,6031,473,6504,0,6132,372,6265,239,6274,230,6474,30,6201,303,6068,436,6062,442,6461,43,6400,104,6398,106,5460,1044,6073,431,5713,791
alkaloid,purine,w/o,177013,62081,238034,1060,214269,24825,232595,6499,225880,13214,238894,200,239083,11,238969,125,236719,2375,238898,196,239080,14,239057,37,237864,1230,238219,875,239034,60,238976,118,233298,5796,229392,9702,234341,4753,239023,71,219203,19891,224383,14711,217400,21694,238058,1036,230960,8134,222391,16703,232043,7051,237906,1188,232418,6676,234543,4551,199748,39346,236621,2473,213710,25384
alkaloid,purine,w/,4509,361,4851,19,4494,376,4802,68,4685,185,4870,0,4870,0,4869,1,4798,72,4869,1,4870,0,4868,2,4867,3,4847,23,4870,0,4868,2,4773,97,4402,468,4688,182,4870,0,4747,123,4759,111,4768,102,4833,37,3998,872,4707,163,4597,273,4859,11,4762,108,4774,96,3691,1179,4852,18,4188,682
alkaloid,putrescine,w/o,180677,62245,241902,1020,217810,25112,236388,6534,229645,13277,242722,200,242911,11,242804,118,240543,2379,242725,197,242908,14,242884,38,241706,1216,242033,889,242862,60,242803,119,237032,5890,232783,10139,238008,4914,242851,71,222935,19987,228123,14799,221155,21767,241857,1065,233931,8991,226074,16848,235612,7310,241727,1195,236184,6738,238282,4640,202621,40301,240433,2489,217021,25901
alkaloid,putrescine,w/,845,197,983,59,953,89,1009,33,920,122,1042,0,1042,0,1034,8,974,68,1042,0,1042,0,1041,1,1025,17,1033,9,1042,0,1041,1,1039,3,1011,31,1021,21,1042,0,1015,27,1019,23,1013,29,1034,8,1027,15,1024,18,1028,14,1038,4,996,46,1035,7,818,224,1040,2,877,165
alkaloid,pyridine,w/o,163355,61409,223692,1072,204893,19871,218934,5830,212734,12030,224569,195,224753,11,224641,123,222350,2414,224615,149,224752,12,224725,39,223559,1205,223891,873,224719,45,224656,108,219092,5672,215851,8913,220091,4673,224695,69,205853,18911,210993,13771,203865,20899,223732,1032,216708,8056,209043,15721,217918,6846,223635,1129,218373,6391,220640,4124,187180,37584,223084,1680,200534,24230
alkaloid,pyridine,w/,18167,1033,19193,7,13870,5330,18463,737,17831,1369,19195,5,19200,0,19197,3,19167,33,19152,48,19198,2,19200,0,19172,28,19175,25,19185,15,19188,12,18979,221,17943,1257,18938,262,19198,2,18097,1103,18149,1051,18303,897,19159,41,18250,950,18055,1145,18722,478,19130,70,18807,393,18677,523,16259,2941,18389,811,17364,1836
alkaloid,pyrrolidine,w/o,179090,61673,239684,1079,215849,24914,234231,6532,227604,13159,240563,200,240752,11,240637,126,238319,2444,240574,189,240750,13,240724,39,239533,1230,239875,888,240703,60,240643,120,235082,5681,230750,10013,235912,4851,240692,71,220987,19776,226065,14698,219085,21678,239699,1064,232079,8684,224097,16666,233504,7259,239576,1187,234027,6736,236190,4573,200822,39941,238289,2474,214946,25817
alkaloid,pyrrolidine,w/,2432,769,3201,0,2914,287,3166,35,2961,240,3201,0,3201,0,3201,0,3198,3,3193,8,3200,1,3201,0,3198,3,3191,10,3201,0,3201,0,2989,212,3044,157,3117,84,3201,0,2963,238,3077,124,3083,118,3192,9,2879,322,3001,200,3136,65,3189,12,3153,48,3127,74,2617,584,3184,17,2952,249
