,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
allelopathy,quorum sensing,w/o,249145,184909,64236,248008,1137,223234,25911,235545,13600,242407,6738,248945,200,249134,11,249018,127,246621,2524,248945,200,249129,16,249106,39,247878,1267,249145,0,249084,61,249024,121,231778,17367,228759,20386,244338,4807,243050,6095,234089,15056,226777,22368,248035,1110,239885,9260,241655,7490,247935,1210,238771,10374,207697,41448,244036,5109,249073,72,246634,2511,242111,7034,222496,26649
allelopathy,quorum sensing,w/,937,893,44,936,1,907,30,925,12,936,1,937,0,937,0,937,0,934,3,937,0,937,0,937,0,937,0,0,937,937,0,937,0,931,6,755,182,933,4,934,3,885,52,794,143,937,0,932,5,935,2,934,3,937,0,876,61,936,1,937,0,937,0,924,13,915,22
allelopathy,repulsive,w/o,250021,185741,64280,248883,1138,224087,25934,236411,13610,243282,6739,249821,200,250010,11,249894,127,247494,2527,249821,200,250005,16,249982,39,248754,1267,249084,937,250021,0,249900,121,232648,17373,229454,20567,245210,4811,243923,6098,234913,15108,227511,22510,248911,1110,240756,9265,242529,7492,248808,1213,239647,10374,208512,41509,244911,5110,249949,72,247510,2511,242974,7047,223350,26671
allelopathy,repulsive,w/,61,61,0,61,0,54,7,59,2,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,0,61,61,0,61,0,60,1,61,0,61,0,61,0,60,1,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0
allelopathy,toxicant,w/o,249961,185690,64271,248823,1138,224036,25925,236350,13611,243222,6739,249762,199,249950,11,249834,127,247436,2525,249761,200,249945,16,249922,39,248695,1266,249024,937,249900,61,249961,0,232589,17372,229393,20568,245150,4811,243863,6098,234853,15108,227450,22511,248851,1110,240698,9263,242470,7491,248748,1213,239588,10373,208464,41497,244851,5110,249889,72,247450,2511,242914,7047,223345,26616
allelopathy,toxicant,w/,121,112,9,121,0,105,16,120,1,121,0,120,1,121,0,121,0,119,2,121,0,121,0,121,0,120,1,121,0,121,0,0,121,120,1,121,0,121,0,121,0,121,0,121,0,121,0,119,2,120,1,121,0,120,1,109,12,121,0,121,0,121,0,121,0,66,55
pharmaco,anti-inflammatory,w/o,232709,171625,61084,231571,1138,206872,25837,219252,13457,226027,6682,232510,199,232698,11,232582,127,230191,2518,232510,199,232693,16,232670,39,231450,1259,231778,931,232648,61,232589,120,232709,0,212578,20131,228033,4676,226862,5847,217873,14836,210614,22095,231618,1091,223617,9092,226522,6187,231534,1175,222633,10076,192600,40109,227754,4955,232647,62,230243,2466,225914,6795,206949,25760
pharmaco,anti-inflammatory,w/,17373,14177,3196,17373,0,17269,104,17218,155,17316,57,17372,1,17373,0,17373,0,17364,9,17372,1,17373,0,17373,0,17365,8,17367,6,17373,0,17372,1,0,17373,16936,437,17238,135,17122,251,17101,272,16957,416,17354,19,17200,173,16068,1305,17335,38,17075,298,15973,1400,17218,155,17363,10,17328,45,17121,252,16462,911
pharmaco,antibacterial,w/o,229514,168415,61099,228380,1134,204337,25177,216186,13328,222916,6598,229317,197,229503,11,229387,127,227028,2486,229325,189,229498,16,229475,39,228285,1229,228759,755,229454,60,229393,121,212578,16936,229514,0,224988,4526,223664,5850,218749,10765,211949,17565,228462,1052,220695,8819,222077,7437,228363,1151,219201,10313,190610,38904,224441,5073,229443,71,227015,2499,222966,6548,203427,26087
pharmaco,antibacterial,w/,20568,17387,3181,20564,4,19804,764,20284,284,20427,141,20565,3,20568,0,20568,0,20527,41,20557,11,20568,0,20568,0,20530,38,20386,182,20567,1,20568,0,20131,437,0,20568,20283,285,20320,248,16225,4343,15622,4946,20510,58,20122,446,20513,55,20506,62,20507,61,17963,2605,20531,37,20567,1,20556,12,20069,499,19984,584
